Category: All categories

Month,exponential growth: (Worldwide)
2004-01,18
2004-02,25
2004-03,25
2004-04,30
2004-05,20
2004-06,18
2004-07,9
2004-08,15
2004-09,23
2004-10,27
2004-11,28
2004-12,21
2005-01,24
2005-02,33
2005-03,23
2005-04,30
2005-05,27
2005-06,14
2005-07,13
2005-08,21
2005-09,21
2005-10,27
2005-11,22
2005-12,15
2006-01,21
2006-02,24
2006-03,29
2006-04,28
2006-05,23
2006-06,14
2006-07,7
2006-08,11
2006-09,27
2006-10,22
2006-11,25
2006-12,16
2007-01,16
2007-02,18
2007-03,20
2007-04,22
2007-05,19
2007-06,13
2007-07,9
2007-08,12
2007-09,16
2007-10,20
2007-11,18
2007-12,19
2008-01,19
2008-02,24
2008-03,20
2008-04,23
2008-05,18
2008-06,12
2008-07,11
2008-08,12
2008-09,19
2008-10,24
2008-11,24
2008-12,20
2009-01,23
2009-02,23
2009-03,23
2009-04,26
2009-05,26
2009-06,18
2009-07,11
2009-08,14
2009-09,24
2009-10,27
2009-11,26
2009-12,23
2010-01,19
2010-02,29
2010-03,27
2010-04,28
2010-05,30
2010-06,19
2010-07,13
2010-08,14
2010-09,26
2010-10,28
2010-11,27
2010-12,21
2011-01,24
2011-02,30
2011-03,27
2011-04,29
2011-05,29
2011-06,20
2011-07,11
2011-08,17
2011-09,26
2011-10,32
2011-11,30
2011-12,24
2012-01,26
2012-02,33
2012-03,31
2012-04,31
2012-05,34
2012-06,18
2012-07,14
2012-08,17
2012-09,31
2012-10,32
2012-11,31
2012-12,29
2013-01,28
2013-02,35
2013-03,33
2013-04,37
2013-05,35
2013-06,21
2013-07,14
2013-08,16
2013-09,32
2013-10,38
2013-11,34
2013-12,31
2014-01,28
2014-02,36
2014-03,38
2014-04,43
2014-05,40
2014-06,23
2014-07,15
2014-08,19
2014-09,34
2014-10,42
2014-11,37
2014-12,32
2015-01,35
2015-02,42
2015-03,42
2015-04,47
2015-05,46
2015-06,24
2015-07,15
2015-08,18
2015-09,36
2015-10,41
2015-11,42
2015-12,35
2016-01,39
2016-02,47
2016-03,49
2016-04,51
2016-05,49
2016-06,29
2016-07,15
2016-08,19
2016-09,39
2016-10,42
2016-11,45
2016-12,39
2017-01,44
2017-02,51
2017-03,54
2017-04,53
2017-05,54
2017-06,26
2017-07,15
2017-08,20
2017-09,37
2017-10,46
2017-11,45
2017-12,42
2018-01,38
2018-02,49
2018-03,49
2018-04,55
2018-05,49
2018-06,26
2018-07,17
2018-08,19
2018-09,35
2018-10,45
2018-11,43
2018-12,37
2019-01,39
2019-02,47
2019-03,48
2019-04,50
2019-05,48
2019-06,25
2019-07,16
2019-08,19
2019-09,35
2019-10,42
2019-11,41
2019-12,33
2020-01,40
2020-02,50
2020-03,100
2020-04,83
2020-05,58
2020-06,29
2020-07,28
